customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Avg_Order_Value,Purchase_Frequency,Churn_Rate,Customer_Lifespan,CLV
1,24,8,22878,4,5,4,13,VIP Customer,2859.75,0.016359918200409,0.041666666666666664,24.0,549072.0
2,7,4,4736,5,3,2,10,Loyal Customer,1184.0,0.0081799591002045,0.14285714285714285,7.0,33152.0
3,52,1,1184,3,1,1,5,At Risk Customer,1184.0,0.002044989775051125,0.019230769230769232,52.0,61568.0
4,41,5,12623,4,4,3,11,Loyal Customer,2524.6,0.010224948875255624,0.024390243902439025,41.0,517543.0
5,104,7,28397,2,5,4,11,Loyal Customer,4056.714285714286,0.014314928425357873,0.009615384615384616,104.0,2953288.0
6,129,4,11439,2,3,3,8,Potential Customer,2859.75,0.0081799591002045,0.007751937984496124,129.0,1475631.0
7,33,4,11439,4,3,3,10,Loyal Customer,2859.75,0.0081799591002045,0.030303030303030304,33.0,377487.0
8,50,4,4736,4,3,2,9,Potential Customer,1184.0,0.0081799591002045,0.02,50.0,236800.0
9,12,4,4736,5,3,2,10,Loyal Customer,1184.0,0.0081799591002045,0.08333333333333333,12.0,56832.0
10,73,4,11439,3,3,3,9,Potential Customer,2859.75,0.0081799591002045,0.0136986301369863,73.0,835047.0
11,26,3,3552,4,2,1,7,Potential Customer,1184.0,0.006134969325153374,0.038461538461538464,26.0,92352.0
12,60,5,103861,3,4,5,12,Loyal Customer,20772.2,0.010224948875255624,0.016666666666666666,60.0,6231660.0
13,106,5,97158,2,4,5,11,Loyal Customer,19431.6,0.010224948875255624,0.009433962264150943,106.0,10298748.0
14,45,7,197467,4,5,5,14,VIP Customer,28209.571428571428,0.014314928425357873,0.022222222222222223,45.0,8886015.0
15,54,5,19326,3,4,4,11,Loyal Customer,3865.2,0.010224948875255624,0.018518518518518517,54.0,1043604.0
16,61,2,9071,3,1,2,6,At Risk Customer,4535.5,0.00408997955010225,0.01639344262295082,61.0,553331.0
17,71,5,19326,3,4,4,11,Loyal Customer,3865.2,0.010224948875255624,0.014084507042253521,71.0,1372146.0
18,205,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.004878048780487805,205.0,485440.0
19,46,3,3552,4,2,1,7,Potential Customer,1184.0,0.006134969325153374,0.021739130434782608,46.0,163392.0
20,113,4,11439,2,3,3,8,Potential Customer,2859.75,0.0081799591002045,0.008849557522123894,113.0,1292607.0
21,73,2,9071,3,1,2,6,At Risk Customer,4535.5,0.00408997955010225,0.0136986301369863,73.0,662183.0
22,121,3,3552,2,2,1,5,At Risk Customer,1184.0,0.006134969325153374,0.008264462809917356,121.0,429792.0
23,229,4,11439,1,3,3,7,Potential Customer,2859.75,0.0081799591002045,0.004366812227074236,229.0,2619531.0
25,11,7,14991,5,5,3,13,VIP Customer,2141.5714285714284,0.014314928425357873,0.09090909090909091,11.0,164901.0
26,82,4,11439,2,3,3,8,Potential Customer,2859.75,0.0081799591002045,0.012195121951219513,82.0,937998.0
27,73,2,2368,3,1,1,5,At Risk Customer,1184.0,0.00408997955010225,0.0136986301369863,73.0,172864.0
28,4,5,110564,5,4,5,14,VIP Customer,22112.8,0.010224948875255624,0.25,4.0,442256.0
29,55,5,19326,3,4,4,11,Loyal Customer,3865.2,0.010224948875255624,0.01818181818181818,55.0,1062930.0
30,74,1,1184,3,1,1,5,At Risk Customer,1184.0,0.002044989775051125,0.013513513513513514,74.0,87616.0
31,218,1,7887,1,1,2,4,At Risk Customer,7887.0,0.002044989775051125,0.0045871559633027525,218.0,1719366.0
32,115,1,7887,2,1,2,5,At Risk Customer,7887.0,0.002044989775051125,0.008695652173913044,115.0,907005.0
33,14,3,3552,5,2,1,8,Potential Customer,1184.0,0.006134969325153374,0.07142857142857142,14.0,49728.0
34,28,5,19326,4,4,4,12,Loyal Customer,3865.2,0.010224948875255624,0.03571428571428571,28.0,541128.0
35,3,6,13807,5,4,3,12,Loyal Customer,2301.1666666666665,0.012269938650306749,0.3333333333333333,3.0,41421.0
36,12,6,13807,5,4,3,12,Loyal Customer,2301.1666666666665,0.012269938650306749,0.08333333333333333,12.0,165684.0
37,61,3,3552,3,2,1,6,At Risk Customer,1184.0,0.006134969325153374,0.01639344262295082,61.0,216672.0
38,13,5,5920,5,4,2,11,Loyal Customer,1184.0,0.010224948875255624,0.07692307692307693,13.0,76960.0
39,62,9,17359,3,5,4,12,Loyal Customer,1928.7777777777778,0.018404907975460124,0.016129032258064516,62.0,1076258.0
40,33,2,93606,4,1,5,10,Loyal Customer,46803.0,0.00408997955010225,0.030303030303030304,33.0,3088998.0
41,191,4,11439,1,3,3,7,Potential Customer,2859.75,0.0081799591002045,0.005235602094240838,191.0,2184849.0
42,3,7,14991,5,5,3,13,VIP Customer,2141.5714285714284,0.014314928425357873,0.3333333333333333,3.0,44973.0
43,15,2,9071,5,1,2,8,Potential Customer,4535.5,0.00408997955010225,0.06666666666666667,15.0,136065.0
44,22,5,26029,4,4,4,12,Loyal Customer,5205.8,0.010224948875255624,0.045454545454545456,22.0,572638.0
45,306,1,1184,1,1,1,3,Lost Customer,1184.0,0.002044989775051125,0.0032679738562091504,306.0,362304.0
46,98,4,95974,2,3,5,10,Loyal Customer,23993.5,0.0081799591002045,0.01020408163265306,98.00000000000001,9405452.0
47,13,7,217576,5,5,5,15,VIP Customer,31082.285714285714,0.014314928425357873,0.07692307692307693,13.0,2828488.0
48,71,3,94790,3,2,5,10,Loyal Customer,31596.666666666668,0.006134969325153374,0.014084507042253521,71.0,6730090.0
49,104,4,31548,2,3,4,9,Potential Customer,7887.0,0.0081799591002045,0.009615384615384616,104.0,3280992.0
50,148,1,1184,2,1,1,4,At Risk Customer,1184.0,0.002044989775051125,0.006756756756756757,148.0,175232.0
51,2,8,22878,5,5,4,14,VIP Customer,2859.75,0.016359918200409,0.5,2.0,45756.0
52,274,3,3552,1,2,1,4,At Risk Customer,1184.0,0.006134969325153374,0.0036496350364963502,274.0,973248.0
53,15,8,107413,5,5,5,15,VIP Customer,13426.625,0.016359918200409,0.06666666666666667,15.0,1611195.0
54,21,8,29581,5,5,4,14,VIP Customer,3697.625,0.016359918200409,0.047619047619047616,21.0,621201.0
55,111,5,12623,2,4,3,9,Potential Customer,2524.6,0.010224948875255624,0.009009009009009009,111.0,1401153.0
56,248,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.004032258064516129,248.0,587264.0
57,206,2,15774,1,1,3,5,At Risk Customer,7887.0,0.00408997955010225,0.0048543689320388345,206.00000000000003,3249444.0
58,43,6,98342,4,4,5,13,VIP Customer,16390.333333333332,0.012269938650306749,0.023255813953488372,43.0,4228706.0
59,100,3,10255,2,2,2,6,At Risk Customer,3418.3333333333335,0.006134969325153374,0.01,100.0,1025500.0
60,65,3,3552,3,2,1,6,At Risk Customer,1184.0,0.006134969325153374,0.015384615384615385,65.0,230880.0
61,64,3,101493,3,2,5,10,Loyal Customer,33831.0,0.006134969325153374,0.015625,64.0,6495552.0
62,31,5,19326,4,4,4,12,Loyal Customer,3865.2,0.010224948875255624,0.03225806451612903,31.0,599106.0
63,10,8,22878,5,5,4,14,VIP Customer,2859.75,0.016359918200409,0.1,10.0,228780.0
64,364,1,1184,1,1,1,3,Lost Customer,1184.0,0.002044989775051125,0.0027472527472527475,364.0,430976.0
65,242,3,3552,1,2,1,4,At Risk Customer,1184.0,0.006134969325153374,0.004132231404958678,242.0,859584.0
66,134,2,2368,2,1,1,4,At Risk Customer,1184.0,0.00408997955010225,0.007462686567164179,134.0,317312.0
67,5,3,3552,5,2,1,8,Potential Customer,1184.0,0.006134969325153374,0.2,5.0,17760.0
68,193,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.0051813471502590676,193.0,457024.0
69,28,7,197467,4,5,5,14,VIP Customer,28209.571428571428,0.014314928425357873,0.03571428571428571,28.0,5529076.0
