order_id,product,category,sales,quantity,month,region
1,Laptop,Electronics,150000,5,Jan,Dhaka
2,Mobile,Electronics,50000,10,Jan,Dhaka
3,Shirt,Clothing,3000,50,Jan,Chittagong
4,Rice,Food,2000,100,Jan,Sylhet
5,Headphone,Electronics,8000,20,Jan,Dhaka
6,Pants,Clothing,5000,30,Feb,Chittagong
7,Tablet,Electronics,45000,8,Feb,Dhaka
8,Book,Education,500,200,Feb,Sylhet
9,Pen,Education,50,500,Feb,Rajshahi
10,Shoes,Clothing,7000,25,Feb,Dhaka
11,Laptop,Electronics,120000,4,Mar,Dhaka
12,Mobile,Electronics,45000,12,Mar,Chittagong
13,Shirt,Clothing,2500,45,Mar,Dhaka
14,Rice,Food,1800,90,Mar,Sylhet
15,Headphone,Electronics,7500,18,Mar,Rajshahi
16,Pants,Clothing,4500,28,Apr,Dhaka
17,Tablet,Electronics,40000,7,Apr,Chittagong
18,Book,Education,450,180,Apr,Sylhet
19,Pen,Education,45,450,Apr,Dhaka
20,Shoes,Clothing,6500,22,Apr,Rajshahi
21,Laptop,Electronics,160000,6,May,Dhaka
22,Mobile,Electronics,55000,11,May,Dhaka
23,Shirt,Clothing,3500,55,May,Chittagong
24,Rice,Food,2200,110,May,Sylhet
25,Headphone,Electronics,8500,22,May,Dhaka
26,Pants,Clothing,5500,32,Jun,Rajshahi
27,Tablet,Electronics,50000,9,Jun,Dhaka
28,Book,Education,550,210,Jun,Sylhet
29,Pen,Education,55,510,Jun,Chittagong
30,Shoes,Clothing,7500,27,Jun,Dhaka
31,Laptop,Electronics,140000,5,Jul,Dhaka
32,Mobile,Electronics,48000,13,Jul,Chittagong
33,Shirt,Clothing,2800,48,Jul,Dhaka
34,Rice,Food,1900,95,Jul,Sylhet
35,Headphone,Electronics,8200,19,Jul,Rajshahi
36,Pants,Clothing,4800,29,Aug,Dhaka
37,Tablet,Electronics,42000,8,Aug,Chittagong
38,Book,Education,480,190,Aug,Sylhet
39,Pen,Education,48,460,Aug,Dhaka
40,Shoes,Clothing,6800,23,Aug,Rajshahi
41,Laptop,Electronics,155000,5,Sep,Dhaka
42,Mobile,Electronics,52000,10,Sep,Dhaka
43,Shirt,Clothing,3200,52,Sep,Chittagong
44,Rice,Food,2100,105,Sep,Sylhet
45,Headphone,Electronics,8300,21,Sep,Dhaka
46,Pants,Clothing,5200,31,Oct,Rajshahi
47,Tablet,Electronics,47000,8,Oct,Dhaka
48,Book,Education,520,200,Oct,Sylhet
49,Pen,Education,52,480,Oct,Chittagong
50,Shoes,Clothing,7200,24,Oct,Dhaka
